image name,nuclei counted 
out_opt_flow_registered_X11_Y9_c02_DAPI.tif,265
out_opt_flow_registered_X16_Y5_c04_DAPI.tif,304
out_opt_flow_registered_X19_Y8_c02_DAPI.tif,228
out_opt_flow_registered_X19_Y8_c03_DAPI.tif,233
out_opt_flow_registered_X15_Y1_c03_DAPI.tif,274
out_opt_flow_registered_X15_Y1_c02_DAPI.tif,264
out_opt_flow_registered_X16_Y2_c04_DAPI.tif,261
out_opt_flow_registered_X15_Y6_c03_DAPI.tif,269
out_opt_flow_registered_X16_Y11_c01_DAPI.tif,246
out_opt_flow_registered_X15_Y6_c02_DAPI.tif,290
out_opt_flow_registered_X15_Y11_c04_DAPI.tif,430
out_opt_flow_registered_X14_Y10_c02_DAPI.tif,261
out_opt_flow_registered_X19_Y6_c01_DAPI.tif,288
out_opt_flow_registered_X14_Y10_c03_DAPI.tif,282
out_opt_flow_registered_X17_Y2_c02_DAPI.tif,249
out_opt_flow_registered_X17_Y2_c03_DAPI.tif,243
out_opt_flow_registered_X14_Y6_c04_DAPI.tif,324
out_opt_flow_registered_X19_Y1_c01_DAPI.tif,89
out_opt_flow_registered_X18_Y8_c04_DAPI.tif,211
out_opt_flow_registered_X17_Y5_c02_DAPI.tif,322
out_opt_flow_registered_X17_Y5_c03_DAPI.tif,304
out_opt_flow_registered_X14_Y1_c04_DAPI.tif,295
out_opt_flow_registered_X19_Y10_c01_DAPI.tif,258
out_opt_flow_registered_X15_Y8_c01_DAPI.tif,373
out_opt_flow_registered_X16_Y4_c01_DAPI.tif,307
out_opt_flow_registered_X18_Y10_c02_DAPI.tif,236
out_opt_flow_registered_X18_Y10_c03_DAPI.tif,282
out_opt_flow_registered_X14_Y9_c02_DAPI.tif,286
out_opt_flow_registered_X14_Y9_c03_DAPI.tif,279
out_opt_flow_registered_X16_Y3_c01_DAPI.tif,217
out_opt_flow_registered_X18_Y7_c03_DAPI.tif,280
out_opt_flow_registered_X18_Y7_c02_DAPI.tif,281
out_opt_flow_registered_X16_Y10_c04_DAPI.tif,237
out_opt_flow_registered_X15_Y10_c01_DAPI.tif,285
out_opt_flow_registered_X19_Y7_c04_DAPI.tif,305
out_opt_flow_registered_X17_Y11_c02_DAPI.tif,219
out_opt_flow_registered_X17_Y11_c03_DAPI.tif,195
out_opt_flow_registered_X14_Y7_c01_DAPI.tif,321
out_opt_flow_registered_X18_Y9_c01_DAPI.tif,214
out_opt_flow_registered_X14_Y0_c01_DAPI.tif,111
out_opt_flow_registered_X19_Y11_c04_DAPI.tif,356
out_opt_flow_registered_X15_Y9_c04_DAPI.tif,277
out_opt_flow_registered_X20_Y13_c04_DAPI.tif,113
out_opt_flow_registered_X12_Y5_c03_DAPI.tif,265
out_opt_flow_registered_X12_Y5_c02_DAPI.tif,278
out_opt_flow_registered_X10_Y14_c03_DAPI.tif,258
out_opt_flow_registered_X10_Y14_c02_DAPI.tif,297
out_opt_flow_registered_X20_Y8_c04_DAPI.tif,239
out_opt_flow_registered_X10_Y8_c01_DAPI.tif,326
out_opt_flow_registered_X11_Y1_c04_DAPI.tif,89
out_opt_flow_registered_X12_Y2_c03_DAPI.tif,264
out_opt_flow_registered_X12_Y2_c02_DAPI.tif,252
out_opt_flow_registered_X10_Y13_c03_DAPI.tif,347
out_opt_flow_registered_X10_Y13_c02_DAPI.tif,349
out_opt_flow_registered_X11_Y6_c04_DAPI.tif,155
out_opt_flow_registered_X21_Y6_c01_DAPI.tif,293
out_opt_flow_registered_X13_Y2_c04_DAPI.tif,219
out_opt_flow_registered_X11_Y12_c04_DAPI.tif,294
out_opt_flow_registered_X12_Y12_c01_DAPI.tif,202
out_opt_flow_registered_X10_Y6_c02_DAPI.tif,379
out_opt_flow_registered_X10_Y6_c03_DAPI.tif,361
out_opt_flow_registered_X12_Y15_c01_DAPI.tif,232
out_opt_flow_registered_X23_Y5_c01_DAPI.tif,42
out_opt_flow_registered_X11_Y15_c04_DAPI.tif,255
out_opt_flow_registered_X13_Y5_c04_DAPI.tif,325
out_opt_flow_registered_X21_Y8_c03_DAPI.tif,240
out_opt_flow_registered_X21_Y8_c02_DAPI.tif,246
out_opt_flow_registered_X21_Y12_c03_DAPI.tif,81
out_opt_flow_registered_X21_Y12_c02_DAPI.tif,169
out_opt_flow_registered_X20_Y2_c02_DAPI.tif,126
out_opt_flow_registered_X20_Y2_c03_DAPI.tif,119
out_opt_flow_registered_X13_Y6_c01_DAPI.tif,366
out_opt_flow_registered_X23_Y6_c04_DAPI.tif,75
out_opt_flow_registered_X20_Y5_c02_DAPI.tif,243
out_opt_flow_registered_X20_Y5_c03_DAPI.tif,242
out_opt_flow_registered_X12_Y11_c04_DAPI.tif,210
out_opt_flow_registered_X11_Y11_c01_DAPI.tif,303
out_opt_flow_registered_X13_Y1_c01_DAPI.tif,300
out_opt_flow_registered_X22_Y8_c01_DAPI.tif,218
out_opt_flow_registered_X12_Y8_c04_DAPI.tif,349
out_opt_flow_registered_X13_Y10_c03_DAPI.tif,246
out_opt_flow_registered_X13_Y10_c02_DAPI.tif,260
out_opt_flow_registered_X21_Y5_c04_DAPI.tif,272
out_opt_flow_registered_X11_Y5_c01_DAPI.tif,332
out_opt_flow_registered_X13_Y8_c02_DAPI.tif,303
