FOV Name,C1,C2,C3,C4,Mean,SD
X21_Y9,280,275,245,264,266.0,13.435028842544403
X22_Y10,94,151,137,138,130.0,21.50581316760657
X22_Y3,28,34,31,32,31.25,2.165063509461097
X22_Y4,129,159,147,142,144.25,10.755812382149477
X22_Y5,290,321,281,254,286.5,23.921747427811372
X22_Y6,275,288,271,233,266.75,20.474068965401088
X22_Y7,223,251,253,236,240.75,12.173228823939851
X22_Y8,208,183,158,218,191.75,23.284920012746447
X22_Y9,225,212,177,224,209.5,19.448650338776723
X23_Y4,8,11,10,8413,2110.5,3638.750231879072
X23_Y5,52,38,48,42,45.0,5.385164807134504
X23_Y6,58,75,59,61,63.25,6.869315832017043
X23_Y7,74,80,78,69,75.25,4.205650960315181
X23_Y8,53,44,53,53,50.75,3.897114317029974
